"Notes"	"County"	"County Code"	"Month, Year"	"Month, Year Code"	Avg Daily Max Air Temperature (C)	Avg Daily Min Air Temperature (C)	Avg Daily Max Heat Index (C)
	"Autauga County, AL"	"01001"	"Jan, 2011"	"2011/01"	11.03	-0.45	Missing
	"Autauga County, AL"	"01001"	"Feb, 2011"	"2011/02"	17.00	3.89	28.92
	"Autauga County, AL"	"01001"	"Mar, 2011"	"2011/03"	21.76	8.55	27.77
	"Autauga County, AL"	"01001"	"Apr, 2011"	"2011/04"	26.73	11.93	30.50
	"Autauga County, AL"	"01001"	"May, 2011"	"2011/05"	29.33	14.91	33.10
	"Autauga County, AL"	"01001"	"Jun, 2011"	"2011/06"	35.97	22.69	38.48
	"Autauga County, AL"	"01001"	"Jul, 2011"	"2011/07"	34.34	24.95	38.59
	"Autauga County, AL"	"01001"	"Aug, 2011"	"2011/08"	36.51	23.62	39.75
	"Autauga County, AL"	"01001"	"Sep, 2011"	"2011/09"	30.35	18.08	31.95
	"Autauga County, AL"	"01001"	"Oct, 2011"	"2011/10"	24.18	9.76	27.96
	"Autauga County, AL"	"01001"	"Nov, 2011"	"2011/11"	20.20	6.87	27.82
	"Autauga County, AL"	"01001"	"Dec, 2011"	"2011/12"	16.81	4.71	Missing
"Total"	"Autauga County, AL"	"01001"			25.39	12.50	35.06
	"Baldwin County, AL"	"01003"	"Jan, 2011"	"2011/01"	14.23	4.00	Missing
	"Baldwin County, AL"	"01003"	"Feb, 2011"	"2011/02"	17.60	7.44	28.99
	"Baldwin County, AL"	"01003"	"Mar, 2011"	"2011/03"	22.73	12.02	28.26
	"Baldwin County, AL"	"01003"	"Apr, 2011"	"2011/04"	26.82	15.56	30.55
	"Baldwin County, AL"	"01003"	"May, 2011"	"2011/05"	29.09	17.32	32.54
	"Baldwin County, AL"	"01003"	"Jun, 2011"	"2011/06"	34.64	24.61	38.27
	"Baldwin County, AL"	"01003"	"Jul, 2011"	"2011/07"	32.50	25.06	37.42
	"Baldwin County, AL"	"01003"	"Aug, 2011"	"2011/08"	34.65	25.38	39.71
	"Baldwin County, AL"	"01003"	"Sep, 2011"	"2011/09"	29.16	20.69	32.02
	"Baldwin County, AL"	"01003"	"Oct, 2011"	"2011/10"	25.24	12.54	28.67
	"Baldwin County, AL"	"01003"	"Nov, 2011"	"2011/11"	21.70	10.33	28.93
	"Baldwin County, AL"	"01003"	"Dec, 2011"	"2011/12"	18.91	8.43	Missing
"Total"	"Baldwin County, AL"	"01003"			25.64	15.32	34.89
	"Barbour County, AL"	"01005"	"Jan, 2011"	"2011/01"	11.40	0.11	Missing
	"Barbour County, AL"	"01005"	"Feb, 2011"	"2011/02"	17.50	5.19	28.38
	"Barbour County, AL"	"01005"	"Mar, 2011"	"2011/03"	22.62	9.80	27.70
	"Barbour County, AL"	"01005"	"Apr, 2011"	"2011/04"	27.44	12.79	30.48
	"Barbour County, AL"	"01005"	"May, 2011"	"2011/05"	30.82	15.59	33.41
	"Barbour County, AL"	"01005"	"Jun, 2011"	"2011/06"	37.00	22.95	38.60
	"Barbour County, AL"	"01005"	"Jul, 2011"	"2011/07"	34.25	25.08	38.26
	"Barbour County, AL"	"01005"	"Aug, 2011"	"2011/08"	36.45	24.00	39.42
	"Barbour County, AL"	"01005"	"Sep, 2011"	"2011/09"	31.22	19.23	32.59
	"Barbour County, AL"	"01005"	"Oct, 2011"	"2011/10"	24.47	10.18	28.06
	"Barbour County, AL"	"01005"	"Nov, 2011"	"2011/11"	21.30	7.46	27.79
	"Barbour County, AL"	"01005"	"Dec, 2011"	"2011/12"	18.22	5.71	Missing
"Total"	"Barbour County, AL"	"01005"			26.09	13.21	34.86
	"Bibb County, AL"	"01007"	"Jan, 2011"	"2011/01"	10.34	-0.40	Missing
	"Bibb County, AL"	"01007"	"Feb, 2011"	"2011/02"	16.55	3.46	28.87
	"Bibb County, AL"	"01007"	"Mar, 2011"	"2011/03"	21.25	8.05	27.66
	"Bibb County, AL"	"01007"	"Apr, 2011"	"2011/04"	26.22	11.99	30.37
	"Bibb County, AL"	"01007"	"May, 2011"	"2011/05"	28.35	14.36	32.87
	"Bibb County, AL"	"01007"	"Jun, 2011"	"2011/06"	35.14	22.48	38.31
	"Bibb County, AL"	"01007"	"Jul, 2011"	"2011/07"	34.33	24.72	38.57
	"Bibb County, AL"	"01007"	"Aug, 2011"	"2011/08"	36.54	23.49	39.58
	"Bibb County, AL"	"01007"	"Sep, 2011"	"2011/09"	29.51	16.99	31.62
	"Bibb County, AL"	"01007"	"Oct, 2011"	"2011/10"	23.90	9.40	27.99
	"Bibb County, AL"	"01007"	"Nov, 2011"	"2011/11"	19.74	6.62	27.57
	"Bibb County, AL"	"01007"	"Dec, 2011"	"2011/12"	16.08	3.97	Missing
"Total"	"Bibb County, AL"	"01007"			24.87	12.14	34.98
	"Blount County, AL"	"01009"	"Jan, 2011"	"2011/01"	8.15	-1.45	Missing
	"Blount County, AL"	"01009"	"Feb, 2011"	"2011/02"	14.82	2.50	27.68
	"Blount County, AL"	"01009"	"Mar, 2011"	"2011/03"	19.48	7.42	27.59
	"Blount County, AL"	"01009"	"Apr, 2011"	"2011/04"	24.54	11.88	29.90
	"Blount County, AL"	"01009"	"May, 2011"	"2011/05"	26.63	14.90	32.47
	"Blount County, AL"	"01009"	"Jun, 2011"	"2011/06"	33.22	22.22	36.23
	"Blount County, AL"	"01009"	"Jul, 2011"	"2011/07"	33.47	24.30	37.63
	"Blount County, AL"	"01009"	"Aug, 2011"	"2011/08"	35.21	22.82	37.98
	"Blount County, AL"	"01009"	"Sep, 2011"	"2011/09"	27.71	16.25	30.70
	"Blount County, AL"	"01009"	"Oct, 2011"	"2011/10"	22.48	9.04	27.44
	"Blount County, AL"	"01009"	"Nov, 2011"	"2011/11"	18.20	6.25	27.31
	"Blount County, AL"	"01009"	"Dec, 2011"	"2011/12"	14.23	3.56	Missing
"Total"	"Blount County, AL"	"01009"			23.22	11.69	34.64
