GEOID,cov_cases
60,0
66,139
69,14
72,1416
78,54
1001,33
1003,143
1005,30
1007,33
1009,31
1011,12
1013,19
1015,88
1017,275
1019,12
1021,47
1023,22
1025,25
1027,19
1029,12
1031,80
1033,22
1035,9
1037,28
1039,29
1041,8
1043,44
1045,22
1047,29
1049,61
1051,74
1053,21
1055,120
1057,4
1059,25
1061,6
1063,41
1065,37
1067,22
1069,78
1071,43
1073,778
1075,9
1077,25
1079,12
1081,340
1083,40
1085,34
1087,27
1089,205
1091,38
1093,67
1095,258
1097,810
1099,9
1101,263
1103,50
1105,9
1107,44
1109,57
1111,58
1113,54
1115,62
1117,283
1119,47
1121,53
1123,254
1125,173
1127,89
1129,18
1131,52
1133,10
2013,0
2016,0
2020,166
2050,1
2060,0
2068,0
2070,0
2090,79
2100,0
2105,0
2110,27
2122,19
2130,16
2150,1
2158,0
2164,0
2170,20
2180,1
2185,0
2188,0
2195,3
2198,2
2220,0
2230,0
2240,1
2261,0
2275,0
2282,0
2290,1
4001,268
4003,31
4005,372
4007,12
4009,4
4011,2
4012,6
4013,2970
4015,69
4017,564
4019,1026
4021,303
4023,28
4025,75
4027,42
5001,2
5003,13
5005,5
5007,70
5009,4
5011,7
5013,0
5015,2
5017,7
5019,27
5021,1
5023,71
5025,8
5027,5
5029,8
5031,55
5033,4
5035,156
5037,11
5039,1
5041,14
5043,10
5045,67
5047,1
5049,1
5051,109
5053,11
5055,13
5057,5
5059,9
5061,13
5063,8
5065,2
5067,1
5069,142
5071,26
5073,6
5075,37
5077,3
5079,630
5081,0
5083,3
5085,30
5087,1
5089,1
5091,31
5093,10
5095,4
5097,0
5099,1
5101,3
5103,5
5105,3
5107,4
5109,3
5111,13
5113,7
5115,37
5117,2
5119,427
5121,14
5123,69
5125,51
5127,1
5129,6
5131,12
5133,10
5135,2
5137,7
5139,29
5141,26
5143,62
5145,29
5147,1
5149,3
6001,1352
6003,2
6005,8
6007,16
6009,13
6011,3
6013,770
6015,2
6017,40
6019,419
6021,5
6023,52
6025,232
6027,19
6029,699
6031,35
6033,6
6035,0
6037,17537
6039,39
6041,209
6043,0
6045,5
6047,100
6049,0
6051,24
6053,154
6055,57
6057,36
6059,1827
6061,136
6063,4
6065,3218
6067,987
6069,47
6071,1608
6073,2643
6075,1302
6077,487
6079,149
6081,966
6083,451
6085,1987
6087,114
6089,28
6091,0
6093,5
6095,191
6097,194
6099,251
6101,44
6103,1
6105,0
6107,453
6109,2
6111,465
6113,151
6115,16
8001,1082
8003,9
8005,1824
8007,8
8009,10
8011,0
8013,426
8014,113
8015,55
8017,0
8019,12
8021,0
8023,3
8025,2
8027,2
8029,25
8031,2172
8033,0
8035,399
8037,489
8039,26
8041,798
8043,19
8045,74
8047,1
8049,5
8051,121
8053,3
8055,1
8057,0
8059,1075
8061,0
8063,18
8065,10
8067,55
8069,274
8071,3
8073,3
8075,24
8077,37
8079,2
8081,6
8083,15
8085,82
8087,214
8089,7
8091,5
8093,6
8095,5
8097,57
8099,1
8101,108
8103,1
8105,7
8107,52
8109,3
8111,0
8113,17
8115,0
8117,105
8119,25
8121,6
8123,1263
8125,5
9001,10008
9003,4303
9005,751
9007,545
9009,6064
9011,419
9013,359
9015,129
10001,539
10003,1389
10005,1377
11001,3361
12001,231
12003,19
12005,60
12007,42
12009,235
12011,4431
12013,6
12015,178
12017,94
12019,264
12021,507
12023,46
12027,24
12029,4
12031,956
12033,420
12035,106
12037,2
12039,69
12041,4
12043,5
12045,1
12047,6
12049,5
12051,59
12053,83
12055,74
12057,1008
12059,9
12061,88
12063,13
12065,26
12067,1
12069,217
12071,887
12073,191
12075,13
12077,2
12079,40
12081,473
12083,145
12085,166
12086,10588
12087,74
12089,48
12091,141
12093,9
12095,1274
12097,449
12099,2554
12101,221
12103,656
12105,379
12107,75
12109,200
12111,220
12113,141
12115,310
12117,340
12119,166
12121,106
12123,3
12125,3
12127,420
12129,17
12131,34
12133,10
13001,49
13003,7
13005,20
13007,19
13009,161
13011,17
13013,106
13015,264
13017,21
13019,12
13021,234
13023,7
13025,20
13027,37
13029,43
13031,33
13033,60
13035,126
13037,82
13039,28
13043,7
13045,314
