"","GEOID","cov_cases","cov_deaths"
"1","01001",684,15
"2","01003",1224,12
"3","01005",398,2
"4","01007",224,1
"5","01009",307,1
"6","01011",382,11
"7","01013",654,29
"8","01015",500,5
"9","01017",690,27
"10","01019",128,7
"11","01021",331,3
"12","01023",213,12
"13","01025",313,6
"14","01027",85,2
"15","01029",42,1
"16","01031",429,4
"17","01033",505,6
"18","01035",232,8
"19","01037",65,1
"20","01039",437,13
"21","01041",131,3
"22","01043",581,6
"23","01045",394,1
"24","01047",1009,9
"25","01049",951,7
"26","01051",1047,20
"27","01053",480,8
"28","01055",964,14
"29","01057",85,1
"30","01059",937,16
"31","01061",96,0
"32","01063",195,9
"33","01065",353,23
"34","01067",154,4
"35","01069",600,9
"36","01071",422,3
"37","01073",6504,172
"38","01075",88,1
"39","01077",571,6
"40","01079",128,0
"41","01081",1611,38
"42","01083",628,4
"43","01085",485,24
"44","01087",221,9
"45","01089",2150,10
"46","01091",354,11
"47","01093",279,14
"48","01095",1942,11
"49","01097",4778,144
"50","01099",258,4
"51","01101",4478,114
"52","01103",1283,5
"53","01105",236,2
"54","01107",272,6
"55","01109",478,5
"56","01111",260,9
"57","01113",683,0
"58","01117",1674,25
"59","01115",528,3
"60","01119",292,13
"61","01121",406,8
"62","01123",637,70
"63","01125",2654,55
"64","01127",1077,31
"65","01129",144,8
"66","01131",306,8
"67","01133",300,5
"68","02013",2,0
"69","02016",6,0
"70","02020",733,8
"71","02050",15,0
"72","02060",53,0
"73","02068",1,0
"74","02070",21,0
"75","02090",243,2
"76","02100",6,0
"77","02110",54,2
"78","02122",211,1
"79","02130",32,0
"80","02150",10,0
"81","02158",2,0
"82","02164",3,0
"83","02170",137,2
"84","02180",15,0
"85","02185",4,0
"86","02188",6,0
"87","02195",8,0
"88","02198",3,0
"89","02220",18,0
"90","02240",23,0
"91","02261",27,0
"92","02275",8,0
"93","02290",7,0
"94","04001",2551,101
"95","04003",1020,22
"96","04005",2427,98
"97","04007",439,12
"98","04009",201,3
"99","04011",32,1
"100","04012",398,7
"101","04013",78481,1093
"102","04015",1807,97
"103","04017",4279,134
"104","04019",11443,326
"105","04021",5513,84
"106","04023",2170,30
"107","04025",1082,11
"108","04027",8148,139
"109","05001",56,0
"110","05003",97,3
"111","05005",29,0
"112","05007",3416,22
"113","05009",46,1
"114","05011",75,2
"115","05013",2,0
"116","05015",225,6
"117","05017",210,3
"118","05019",75,0
"119","05021",80,3
"120","05023",130,4
"121","05025",35,0
"122","05027",107,5
"123","05029",89,3
"124","05031",541,7
"125","05033",270,2
"126","05035",833,14
"127","05037",95,1
"128","05039",10,0
"129","05041",79,1
"130","05043",89,2
"131","05045",757,3
"132","05047",30,1
"133","05049",17,0
"134","05051",320,3
"135","05053",53,0
"136","05055",147,0
"137","05057",76,1
"138","05059",1213,1
"139","05061",135,1
"140","05063",71,0
"141","05065",25,1
"142","05067",41,0
"143","05069",850,29
"144","05071",363,0
"145","05073",24,2
"146","05075",115,9
"147","05077",825,3
"148","05079",1048,11
"149","05081",42,0
"150","05083",77,0
"151","05085",194,1
"152","05087",222,1
"153","05089",13,0
"154","05091",254,2
"155","05093",304,3
"156","05095",20,0
"157","05097",8,0
"158","05099",109,3
"159","05101",8,0
"160","05103",33,0
"161","05105",33,0
"162","05107",172,5
"163","05109",23,0
"164","05111",72,3
"165","05113",86,0
"166","05115",641,4
"167","05117",28,0
"168","05119",2886,65
"169","05121",75,1
"170","05125",458,3
"171","05127",16,0
"172","05129",16,0
"173","05131",806,7
"174","05133",800,9
"175","05135",64,5
"176","05123",903,3
"177","05137",22,1
"178","05139",273,14
"179","05141",35,2
"180","05143",4456,36
"181","05145",128,2
"182","05147",12,0
"183","05149",828,5
"184","06001",7746,148
"185","06003",1,0
"186","06005",38,0
"187","06007",338,4
"188","06009",67,0
"189","06011",113,0
"190","06013",4605,89
"191","06015",60,0
"192","06017",307,0
"193","06019",8282,88
"194","06021",157,0
"195","06023",168,4
"196","06025",7827,134
"197","06027",35,1
"198","06029",6349,97
"199","06031",2918,39
"200","06033",108,1
"201","06035",275,0
"202","06037",130242,3793
"203","06039",914,8
"204","06041",3101,23
"205","06043",31,1
"206","06045",113,0
"207","06047",1884,12
"208","06051",50,1
"209","06053",2540,18
"210","06055",497,4
"211","06057",163,1
"212","06059",23692,412
"213","06061",1055,11
"214","06063",12,0
"215","06065",25481,537
"216","06067",5338,81
"217","06069",354,2
"218","06071",18912,304
"219","06073",19434,422
"220","06075",4429,50
"221","06077",6279,68
"222","06079",905,4
"223","06081",3949,112
"224","06083",4177,31
"225","06085",5983,167
"226","06087",568,3
"227","06089",195,6
"228","06091",1,0
"229","06093",41,0
"230","06095",2080,28
"231","06097",1703,16
"232","06099",4781,51
"233","06101",388,4
"234","06103",107,1
"235","06105",3,0
"236","06107",5678,152
"237","06109",64,0
"238","06111",4416,53
"239","06113",884,28
"240","06115",192,3
"241","08001",4719,158
"242","08003",204,6
"243","08005",5627,349
"244","08007",12,0
"245","08009",14,0
"246","08011",4,0
"247","08013",1522,73
"248","08014",341,30
"249","08015",93,19
"250","08017",5,0
"251","08019",21,1
"252","08021",18,0
"253","08023",22,0
"254","08025",71,1
"255","08027",3,0
"256","08029",83,1
"257","08031",7832,394
"258","08035",1134,52
"259","08037",761,8
"260","08041",3051,115
"261","08039",62,2
"262","08043",43,0
"263","08045",403,3
"264","08047",8,0
"265","08049",27,1
"266","08051",192,6
"267","08053",3,0
"268","08055",4,1
"269","08057",7,0
"270","08059",3007,215
"271","08063",36,3
"272","08067",134,1
"273","08065",54,0
"274","08069",899,30
"275","08071",9,0
"276","08073",4,0
"277","08075",641,5
"278","08077",140,0
"279","08079",16,0
"280","08081",15,1
"281","08083",77,3
"282","08085",218,12
"283","08087",656,46
"284","08089",23,1
"285","08091",12,1
"286","08093",33,0
"287","08095",16,0
"288","08097",130,2
"289","08099",36,0
"290","08101",430,31
"291","08103",6,0
"292","08105",80,2
"293","08107",81,6
"294","08109",103,2
"295","08111",2,0
"296","08113",48,0
"297","08117",293,4
"298","08119",60,2
"299","08121",46,0
"300","08123",2988,138
"301","08125",54,0
"302","09001",16906,1380
"303","09003",11892,1385
"304","09005",1510,137
"305","09007",1335,187
"306","09009",12532,1079
"307","09011",1322,102
"308","09013",928,64
"309","09015",632,14
"310","10001",1829,92
"311","10003",5732,249
"312","10005",5076,176
"313","11001",10801,568
"314","12001",2043,12
"315","12003",151,4
"316","12005",1107,8
"317","12007",130,2
"318","12009",3237,28
"319","12011",28253,455
"320","12013",152,7
"321","12015",1074,78
"322","12017",523,14
"323","12019",1403,36
"324","12021",5968,94
