GEOID,cov_deaths
60,0
66,5
69,2
72,69
78,3
1001,2
1003,3
1005,0
1007,0
1009,0
1011,0
1013,0
1015,3
1017,16
1019,0
1021,1
1023,0
1025,1
1027,0
1029,1
1031,1
1033,1
1035,0
1037,1
1039,0
1041,0
1043,0
1045,0
1047,2
1049,2
1051,1
1053,1
1055,8
1057,0
1059,0
1061,0
1063,0
1065,1
1067,0
1069,3
1071,2
1073,32
1075,0
1077,3
1079,0
1081,21
1083,0
1085,1
1087,2
1089,4
1091,3
1093,5
1095,4
1097,39
1099,1
1101,3
1103,0
1105,0
1107,1
1109,0
1111,4
1113,0
1115,0
1117,7
1119,1
1121,2
1123,16
1125,1
1127,0
1129,1
1131,1
1133,0
2013,0
2016,0
2020,4
2050,0
2060,0
2068,0
2070,0
2090,1
2100,0
2105,0
2110,0
2122,0
2130,0
2150,0
2158,0
2164,0
2170,0
2180,0
2185,0
2188,0
2195,0
2198,0
2220,0
2230,0
2240,0
2261,0
2275,0
2282,0
2290,0
4001,5
4003,0
4005,32
4007,0
4009,0
4011,0
4012,1
4013,115
4015,3
4017,13
4019,70
4021,8
4023,0
4025,1
4027,1
5001,0
5003,0
5005,0
5007,0
5009,0
5011,1
5013,0
5015,0
5017,0
5019,0
5021,0
5023,4
5025,0
5027,0
5029,1
5031,1
5033,0
5035,5
5037,0
5039,0
5041,0
5043,1
5045,2
5047,0
5049,0
5051,0
5053,0
5055,0
5057,1
5059,0
5061,0
5063,0
5065,0
5067,0
5069,7
5071,0
5073,0
5075,1
5077,1
5079,0
5081,0
5083,0
5085,0
5087,0
5089,0
5091,1
5093,0
5095,0
5097,0
5099,0
5101,0
5103,0
5105,0
5107,1
5109,0
5111,0
5113,0
5115,0
5117,0
5119,12
5121,0
5123,0
5125,1
5127,0
5129,0
5131,0
5133,0
5135,0
5137,0
5139,0
5141,2
5143,2
5145,1
5147,0
5149,0
6001,46
6003,0
6005,0
6007,0
6009,0
6011,0
6013,23
6015,0
6017,0
6019,7
6021,0
6023,0
6025,8
6027,0
6029,4
6031,1
6033,0
6035,0
6037,797
6039,2
6041,11
6043,0
6045,0
6047,3
6049,0
6051,1
6053,4
6055,2
6057,1
6059,36
6061,8
6063,0
6065,100
6067,41
6069,2
6071,77
6073,100
6075,21
6077,22
6079,1
6081,39
6083,5
6085,95
6087,2
6089,3
6091,0
6093,0
6095,4
6097,2
6099,5
6101,3
6103,1
6105,0
6107,25
6109,0
6111,16
6113,12
6115,1
8001,50
8003,2
8005,101
8007,0
8009,0
8011,0
8013,25
8014,4
8015,5
8017,0
8019,1
8021,0
8023,0
8025,1
8027,0
8029,1
8031,98
8033,0
8035,18
8037,7
8039,1
8041,55
8043,0
8045,2
8047,0
8049,0
8051,4
8053,0
8055,0
8057,0
8059,53
8061,0
8063,1
8065,0
8067,0
8069,15
8071,0
8073,0
8075,1
8077,0
8079,0
8081,0
8083,2
8085,9
8087,8
8089,0
8091,1
8093,0
8095,0
8097,2
8099,0
8101,7
8103,0
8105,0
8107,2
8109,0
8111,0
8113,0
8115,0
8117,1
8119,2
8121,0
8123,70
8125,0
9001,615
9003,469
9005,66
9007,57
9009,372
9011,17
9013,33
9015,4
10001,15
10003,40
10005,37
11001,139
12001,1
12003,3
12005,2
12007,2
12009,8
12011,157
12013,0
12015,12
12017,9
12019,12
12021,14
12023,0
12027,4
12029,0
